site,county,pm25,datacreationdate,itemunit
林森,臺南市,17.0,2026-04-01 12:00,μg/m3
員林,彰化縣,14.0,2026-04-01 12:00,μg/m3
臺灣大道,臺中市,,2026-04-01 12:00,μg/m3
大城,彰化縣,7.0,2026-04-01 12:00,μg/m3
富貴角,新北市,6.0,2026-04-01 12:00,μg/m3
麥寮,雲林縣,4.0,2026-04-01 12:00,μg/m3
關山,臺東縣,,2026-04-01 12:00,μg/m3
馬公,澎湖縣,10.0,2026-04-01 12:00,μg/m3
金門,金門縣,9.0,2026-04-01 12:00,μg/m3
馬祖,連江縣,10.0,2026-04-01 12:00,μg/m3
埔里,南投縣,,2026-04-01 12:00,μg/m3
復興,高雄市,15.0,2026-04-01 12:00,μg/m3
永和,新北市,7.0,2026-04-01 12:00,μg/m3
竹山,南投縣,23.0,2026-04-01 12:00,μg/m3
中壢,桃園市,6.0,2026-04-01 12:00,μg/m3
三重,新北市,8.0,2026-04-01 12:00,μg/m3
冬山,宜蘭縣,7.0,2026-04-01 12:00,μg/m3
宜蘭,宜蘭縣,2.0,2026-04-01 12:00,μg/m3
陽明,臺北市,2.0,2026-04-01 12:00,μg/m3
花蓮,花蓮縣,11.0,2026-04-01 12:00,μg/m3
臺東,臺東縣,20.0,2026-04-01 12:00,μg/m3
恆春,屏東縣,15.0,2026-04-01 12:00,μg/m3
潮州,屏東縣,23.0,2026-04-01 12:00,μg/m3
屏東,屏東縣,21.0,2026-04-01 12:00,μg/m3
小港,高雄市,20.0,2026-04-01 12:00,μg/m3
前鎮,高雄市,15.0,2026-04-01 12:00,μg/m3
前金,高雄市,8.0,2026-04-01 12:00,μg/m3
左營,高雄市,10.0,2026-04-01 12:00,μg/m3
楠梓,高雄市,16.0,2026-04-01 12:00,μg/m3
林園,高雄市,15.0,2026-04-01 12:00,μg/m3
大寮,高雄市,,2026-04-01 12:00,μg/m3
鳳山,高雄市,19.0,2026-04-01 12:00,μg/m3
仁武,高雄市,13.0,2026-04-01 12:00,μg/m3
橋頭,高雄市,14.0,2026-04-01 12:00,μg/m3
美濃,高雄市,21.0,2026-04-01 12:00,μg/m3
臺南,臺南市,17.0,2026-04-01 12:00,μg/m3
安南,臺南市,,2026-04-01 12:00,μg/m3
善化,臺南市,15.0,2026-04-01 12:00,μg/m3
新營,臺南市,18.0,2026-04-01 12:00,μg/m3
嘉義,嘉義市,20.0,2026-04-01 12:00,μg/m3
臺西,雲林縣,6.0,2026-04-01 12:00,μg/m3
朴子,嘉義縣,19.0,2026-04-01 12:00,μg/m3
新港,嘉義縣,16.0,2026-04-01 12:00,μg/m3
崙背,雲林縣,19.0,2026-04-01 12:00,μg/m3
斗六,雲林縣,18.0,2026-04-01 12:00,μg/m3
南投,南投縣,20.0,2026-04-01 12:00,μg/m3
二林,彰化縣,10.0,2026-04-01 12:00,μg/m3
線西,彰化縣,4.0,2026-04-01 12:00,μg/m3
彰化,彰化縣,6.0,2026-04-01 12:00,μg/m3
西屯,臺中市,6.0,2026-04-01 12:00,μg/m3
忠明,臺中市,,2026-04-01 12:00,μg/m3
大里,臺中市,10.0,2026-04-01 12:00,μg/m3
沙鹿,臺中市,4.0,2026-04-01 12:00,μg/m3
