site,county,pm25,datacreationdate,itemunit
汐止,新北市,2,"2026-02-01 00:00",μg/m3
Yuanlin,"Changhua County",6,"2026-02-01 00:00",μg/m3
"Taiwan Avenue","Taichung City",4,"2026-02-01 00:00",μg/m3
Dacheng,"Changhua County",8,"2026-02-01 00:00",μg/m3
FugueiCape,"New Taipei City",5,"2026-02-01 00:00",μg/m3
Mailiao,"Yunlin County",7,"2026-02-01 00:00",μg/m3
Guanshan,"Taitung County",1,"2026-02-01 00:00",μg/m3
Magong,"Penghu County",9,"2026-02-01 00:00",μg/m3
Kinmen,"Kinmen County",9,"2026-02-01 00:00",μg/m3
Matsu,"Lienchiang County",11,"2026-02-01 00:00",μg/m3
Puli,"Nantou County",14,"2026-02-01 00:00",μg/m3
Fuxing,"Kaohsiung City",19,"2026-02-01 00:00",μg/m3
Yonghe,"New Taipei City",7,"2026-02-01 00:00",μg/m3
Zhushan,"Nantou County",9,"2026-02-01 00:00",μg/m3
Zhongli,"Taoyuan County",7,"2026-02-01 00:00",μg/m3
Sanchong,"New Taipei City",6,"2026-02-01 00:00",μg/m3
Dongshan,"Yilan County",2,"2026-02-01 00:00",μg/m3
Yilan,"Yilan County",3,"2026-02-01 00:00",μg/m3
Yangming,"Taipei City",0,"2026-02-01 00:00",μg/m3
Hualien,"Hualien County",4,"2026-02-01 00:00",μg/m3
Taitung,"Taitung County",1,"2026-02-01 00:00",μg/m3
Hengchun,"Pingtung County",4,"2026-02-01 00:00",μg/m3
Chaozhou,"Pingtung County",23,"2026-02-01 00:00",μg/m3
Pingtung,"Pingtung County",19,"2026-02-01 00:00",μg/m3
Xiaogang,"Kaohsiung City",15,"2026-02-01 00:00",μg/m3
Qianzhen,"Kaohsiung City",10,"2026-02-01 00:00",μg/m3
Qianjin,"Kaohsiung City",17,"2026-02-01 00:00",μg/m3
Zuoying,"Kaohsiung City",12,"2026-02-01 00:00",μg/m3
Nanzi,"Kaohsiung City",10,"2026-02-01 00:00",μg/m3
Linyuan,"Kaohsiung City",17,"2026-02-01 00:00",μg/m3
Daliao,"Kaohsiung City",12,"2026-02-01 00:00",μg/m3
Fengshan,"Kaohsiung City",14,"2026-02-01 00:00",μg/m3
Renwu,"Kaohsiung City",13,"2026-02-01 00:00",μg/m3
Qiaotou,"Kaohsiung City",16,"2026-02-01 00:00",μg/m3
Meinong,"Kaohsiung City",14,"2026-02-01 00:00",μg/m3
Tainan,"Tainan City",10,"2026-02-01 00:00",μg/m3
Annan,"Tainan City",12,"2026-02-01 00:00",μg/m3
Shanhua,"Tainan City",11,"2026-02-01 00:00",μg/m3
Xinying,"Tainan City",10,"2026-02-01 00:00",μg/m3
Chiayi,"Chiayi City",12,"2026-02-01 00:00",μg/m3
Taixi,"Yunlin County",6,"2026-02-01 00:00",μg/m3
Puzi,"Chiayi County",7,"2026-02-01 00:00",μg/m3
Xingang,"Chiayi County",5,"2026-02-01 00:00",μg/m3
Lunbei,"Yunlin County",3,"2026-02-01 00:00",μg/m3
Douliu,"Yunlin County",9,"2026-02-01 00:00",μg/m3
Nantou,"Nantou County",11,"2026-02-01 00:00",μg/m3
Erlin,"Changhua County",4,"2026-02-01 00:00",μg/m3
Xianxi,"Changhua County",3,"2026-02-01 00:00",μg/m3
Changhua,"Changhua County",4,"2026-02-01 00:00",μg/m3
Xitun,"Taichung City",3,"2026-02-01 00:00",μg/m3
Zhongming,"Taichung City",6,"2026-02-01 00:00",μg/m3
Dali,"Taichung City",2,"2026-02-01 00:00",μg/m3
Shalu,"Taichung City",1,"2026-02-01 00:00",μg/m3
Fengyuan,"Taichung City",2,"2026-02-01 00:00",μg/m3
Sanyi,"Miaoli County",2,"2026-02-01 00:00",μg/m3
Miaoli,"Miaoli County",6,"2026-02-01 00:00",μg/m3
Toufen,"Miaoli County",0,"2026-02-01 00:00",μg/m3
Hsinchu,"Hsinchu City",4,"2026-02-01 00:00",μg/m3
Zhudong,"Hsinchu County",4,"2026-02-01 00:00",μg/m3
Hukou,"Hsinchu County",4,"2026-02-01 00:00",μg/m3
Longtan,"Taoyuan County",5,"2026-02-01 00:00",μg/m3
Pingzhen,"Taoyuan County",5,"2026-02-01 00:00",μg/m3
Guanyin,"Taoyuan County",7,"2026-02-01 00:00",μg/m3
Dayuan,"Taoyuan County",6,"2026-02-01 00:00",μg/m3
Taoyuan,"Taoyuan County",0,"2026-02-01 00:00",μg/m3
Datong,"Taipei City",4,"2026-02-01 00:00",μg/m3
Songshan,"Taipei City",3,"2026-02-01 00:00",μg/m3
Guting,"Taipei City",4,"2026-02-01 00:00",μg/m3
Wanhua,"Taipei City",2,"2026-02-01 00:00",μg/m3
Zhongshan,"Taipei City",3,"2026-02-01 00:00",μg/m3
Shilin,"Taipei City",0,"2026-02-01 00:00",μg/m3
Tamsui,"New Taipei City",3,"2026-02-01 00:00",μg/m3
Linkou,"New Taipei City",0,"2026-02-01 00:00",μg/m3
Cailiao,"New Taipei City",2,"2026-02-01 00:00",μg/m3
Xinzhuang,"New Taipei City",3,"2026-02-01 00:00",μg/m3
Banqiao,"New Taipei City",7,"2026-02-01 00:00",μg/m3
Tucheng,"New Taipei City",0,"2026-02-01 00:00",μg/m3
Xindian,"New Taipei City",3,"2026-02-01 00:00",μg/m3
Xizhi,"New Taipei City",2,"2026-02-01 00:00",μg/m3
Keelung,"Keelung City",6,"2026-02-01 00:00",μg/m3
林森,臺南市,10,"2026-02-01 00:00",μg/m3
新店,新北市,3,"2026-02-01 00:00",μg/m3
基隆,基隆市,6,"2026-02-01 00:00",μg/m3
土城,新北市,0,"2026-02-01 00:00",μg/m3
板橋,新北市,7,"2026-02-01 00:00",μg/m3
新莊,新北市,3,"2026-02-01 00:00",μg/m3
菜寮,新北市,2,"2026-02-01 00:00",μg/m3
林口,新北市,0,"2026-02-01 00:00",μg/m3
淡水,新北市,3,"2026-02-01 00:00",μg/m3
士林,臺北市,0,"2026-02-01 00:00",μg/m3
中山,臺北市,3,"2026-02-01 00:00",μg/m3
萬華,臺北市,2,"2026-02-01 00:00",μg/m3
古亭,臺北市,4,"2026-02-01 00:00",μg/m3
松山,臺北市,3,"2026-02-01 00:00",μg/m3
大同,臺北市,4,"2026-02-01 00:00",μg/m3
桃園,桃園市,0,"2026-02-01 00:00",μg/m3
